chid,chnm,bound_provenance,n_biofam_tested,n_biofam_active,n_biofam_separated,frac_tested_active,frac_tested_separated,family_loss
43915,"17-((1-Oxohexyl)oxy)pregn-4-ene-3,20-dione",estimated,17,11,8,0.6470588235294118,0.47058823529411764,3
20507,"N,N-Dimethylaniline",default,36,4,4,0.1111111111111111,0.1111111111111111,0
22113,"3,4-Dichloro-1-butene",default,24,10,10,0.4166666666666667,0.4166666666666667,0
23950,Carbosulfan,estimated,36,20,15,0.5555555555555556,0.4166666666666667,5
37754,"2,4,6-Tris(allyloxy)-1,3,5-triazine",default,17,6,6,0.35294117647058826,0.35294117647058826,0
40111,Ethyl butyrate,default,36,4,4,0.1111111111111111,0.1111111111111111,0
27184,Decamethylcyclopentasiloxane,default,15,1,1,0.06666666666666667,0.06666666666666667,0
41604,n-Amyl butyrate,estimated,16,2,0,0.125,0.0,2
22527,Propylparaben,default,37,14,14,0.3783783783783784,0.3783783783783784,0
42169,Monotridecyl phosphate,estimated,20,9,7,0.45,0.35,2
24059,"3,3'-Dimethylbenzidine",default,38,18,18,0.47368421052631576,0.47368421052631576,0
22367,Estrone,estimated,37,17,12,0.4594594594594595,0.32432432432432434,5
23990,Cyanazine,default,39,14,14,0.358974358974359,0.358974358974359,0
40776,Morin hydrate,estimated,20,13,4,0.65,0.2,9
23588,D-Glucitol,default,17,3,3,0.17647058823529413,0.17647058823529413,0
41709,"C.I. Acid Orange 8, monosodium salt",estimated,19,11,5,0.5789473684210527,0.2631578947368421,6
21864,"2,4-Dimethylphenol",default,37,10,10,0.2702702702702703,0.2702702702702703,0
21993,Dibenzofuran,default,36,4,4,0.1111111111111111,0.1111111111111111,0
26500,2-(4-Tert-Butylbenzyl)propionaldehyde,estimated,23,13,1,0.5652173913043478,0.043478260869565216,12
41188,1-Phenyl-2-nitropropene,estimated,19,11,3,0.5789473684210527,0.15789473684210525,8
20352,Cupferron,default,17,7,7,0.4117647058823529,0.4117647058823529,0
20440,Dichlorprop,default,37,6,6,0.16216216216216217,0.16216216216216217,0
23192,Lactic acid,default,15,2,2,0.13333333333333333,0.13333333333333333,0
26811,Benzenethiol,estimated,19,8,3,0.42105263157894735,0.15789473684210525,5
34503,Cyhalofop-butyl,estimated,37,13,4,0.35135135135135137,0.10810810810810811,9
24170,"1,1-Dimethylpiperidinium chloride",default,39,9,9,0.23076923076923078,0.23076923076923078,0
21032,N-Nitrosodi-n-propylamine,default,37,3,3,0.08108108108108109,0.08108108108108109,0
27479,2-(2H-Benzotriazol-2-yl)-4-methylphenol,default,24,12,12,0.5,0.5,0
32513,"(3,5-Dimethyl-1H-pyrazol-1-yl)methanol",default,17,1,1,0.058823529411764705,0.058823529411764705,0
40372,Epoxiconazole,estimated,17,6,4,0.35294117647058826,0.23529411764705882,2
24049,Diflubenzuron,estimated,16,5,2,0.3125,0.125,3
27982,Diisononyl adipate,default,38,4,4,0.10526315789473684,0.10526315789473684,0
24598,Benzyl salicylate,default,18,8,8,0.4444444444444444,0.4444444444444444,0
40352,Dinocap,estimated,27,25,16,0.9259259259259259,0.5925925925925926,9
25226,Econazole nitrate,estimated,18,14,8,0.7777777777777778,0.4444444444444444,6
41641,"2,5-Dimethylbenzenesulfonic acid",default,15,3,3,0.2,0.2,0
22523,Heptyl p-hydroxybenzoate,estimated,19,14,4,0.7368421052631579,0.21052631578947367,10
22288,4-Hexyloxyaniline,estimated,18,9,3,0.5,0.16666666666666666,6
22411,"4,4'-Methylenebis(2,6-di-t-butylphenol)",default,17,4,4,0.23529411764705882,0.23529411764705882,0
20688,Hexachlorocyclopentadiene,estimated,37,20,6,0.5405405405405406,0.16216216216216217,14
34962,Thiamethoxam,default,38,6,6,0.15789473684210525,0.15789473684210525,0
35589,Didecylmethyl(3-(trimethoxysilyl)propyl)ammonium chloride,estimated,20,13,5,0.65,0.25,8
20415,"1,2-Dibromoethane",default,24,5,5,0.20833333333333334,0.20833333333333334,0
20381,Deltamethrin,estimated,27,18,14,0.6666666666666666,0.5185185185185185,4
21968,3-Ethoxy-4-hydroxybenzaldehyde,default,15,2,2,0.13333333333333333,0.13333333333333333,0
22421,Melatonin,default,17,4,4,0.23529411764705882,0.23529411764705882,0
32535,Trinexapac-ethyl,default,15,2,2,0.13333333333333333,0.13333333333333333,0
22394,Biochanin A,estimated,20,13,10,0.65,0.5,3
21237,Reserpine,estimated,40,31,13,0.775,0.325,18
21885,"2-Methyl-2,4-pentanediol",default,37,6,6,0.16216216216216217,0.16216216216216217,0
26867,Decanedioic acid,default,16,3,3,0.1875,0.1875,0
35616,Sodium 2-nitrophenolate,default,17,3,3,0.17647058823529413,0.17647058823529413,0
41368,5-Ethyl-5-methylhydantoin,default,16,1,1,0.0625,0.0625,0
44175,Clove leaf oil,default,38,14,14,0.3684210526315789,0.3684210526315789,0
34997,Tributyltetradecylphosphonium chloride,estimated,23,20,12,0.8695652173913043,0.5217391304347826,8
42507,1-Phenylurea,default,15,1,1,0.06666666666666667,0.06666666666666667,0
37714,4-Heptylphenol,estimated,38,23,9,0.6052631578947368,0.23684210526315788,14
40731,Diisopropyl phthalate,default,17,5,5,0.29411764705882354,0.29411764705882354,0
21390,"1,2,3-Trichloropropane",default,38,4,4,0.10526315789473684,0.10526315789473684,0
48175,Difpas-pyrazole,estimated,38,17,15,0.4473684210526316,0.39473684210526316,2
20151,Benzyl acetate,estimated,16,4,0,0.25,0.0,4
27402,Dimethyl isophthalate,estimated,16,8,7,0.5,0.4375,1
22526,Benzyl 4-hydroxybenzoate,estimated,18,10,7,0.5555555555555556,0.3888888888888889,3
24174,Tribufos,estimated,38,23,14,0.6052631578947368,0.3684210526315789,9
32459,Phorate,default,37,11,11,0.2972972972972973,0.2972972972972973,0
20443,"2,4-D Butyl ester",default,18,5,5,0.2777777777777778,0.2777777777777778,0
32354,Clodinafop-propargyl,estimated,40,14,5,0.35,0.125,9
32649,Tetramethrin,estimated,39,19,9,0.48717948717948717,0.23076923076923078,10
42187,"N,N'-Dibutylthiourea",estimated,17,7,5,0.4117647058823529,0.29411764705882354,2
47357,Surinabant,estimated,36,32,15,0.8888888888888888,0.4166666666666667,17
27997,Dichlormid,default,23,4,4,0.17391304347826086,0.17391304347826086,0
20916,"1,5-Naphthalenediamine",estimated,39,24,13,0.6153846153846154,0.3333333333333333,11
41708,"C.I. Acid Orange 24, monosodium salt",estimated,18,9,4,0.5,0.2222222222222222,5
42424,Sulfaquinoxaline,default,16,5,5,0.3125,0.3125,0
27540,N-Butylbenzenesulfonamide,estimated,18,5,0,0.2777777777777778,0.0,5
21311,"2,4,6-Tris(tert-butyl)phenol",estimated,37,24,12,0.6486486486486487,0.32432432432432434,12
21894,Cyclohexanol,default,36,4,4,0.1111111111111111,0.1111111111111111,0
20766,Propham,default,17,4,4,0.23529411764705882,0.23529411764705882,0
27770,2-Acrylamido-2-methyl-1-propanesulfonic acid,estimated,16,5,1,0.3125,0.0625,4
20137,"4,4′-Diamino-1,1′-biphenyl",default,38,15,15,0.39473684210526316,0.39473684210526316,0
24081,Endothal,estimated,36,26,4,0.7222222222222222,0.1111111111111111,22
20895,Mirex,default,39,12,12,0.3076923076923077,0.3076923076923077,0
44643,Glycidyl trimethylammonium chloride,default,38,4,4,0.10526315789473684,0.10526315789473684,0
26446,Acetyl tributyl citrate,default,36,11,11,0.3055555555555556,0.3055555555555556,0
25726,2-Nitrobenzenamine,default,18,4,4,0.2222222222222222,0.2222222222222222,0
22480,3-Ethylphenol,default,17,3,3,0.17647058823529413,0.17647058823529413,0
20516,"1,1-Dimethylhydrazine",estimated,16,2,0,0.125,0.0,2
24729,Carbendazim,estimated,39,17,2,0.4358974358974359,0.05128205128205128,15
23862,Aldicarb sulfone,default,16,5,5,0.3125,0.3125,0
47289,UK-343664,default,37,18,18,0.4864864864864865,0.4864864864864865,0
24153,"Indeno[1,2,3-cd]pyrene",estimated,22,14,13,0.6363636363636364,0.5909090909090909,1
32442,Imidacloprid,default,39,19,19,0.48717948717948717,0.48717948717948717,0
37717,Bisphenol AF,estimated,40,31,16,0.775,0.4,15
32555,Flumioxazin,default,38,18,18,0.47368421052631576,0.47368421052631576,0
21116,Phenacetin,default,16,4,4,0.25,0.25,0
41506,4-Chloro-2-cyclopentylphenol,estimated,15,8,6,0.5333333333333333,0.4,2
47291,CI-1044,default,37,11,11,0.2972972972972973,0.2972972972972973,0
20068,2-Aminoanthraquinone,estimated,38,25,18,0.6578947368421053,0.47368421052631576,7
21440,Vinylpyrrolidone,default,36,3,3,0.08333333333333333,0.08333333333333333,0
32488,Thiazopyr,estimated,37,14,11,0.3783783783783784,0.2972972972972973,3
21643,Octanal,default,36,6,6,0.16666666666666666,0.16666666666666666,0
47351,SSR 240612,estimated,37,31,14,0.8378378378378378,0.3783783783783784,17
25122,Dimethyl glutarate,default,36,4,4,0.1111111111111111,0.1111111111111111,0
47278,CP-457677,default,37,13,13,0.35135135135135137,0.35135135135135137,0
20409,"Dibenz[a,h]anthracene",estimated,28,14,8,0.5,0.2857142857142857,6
47307,PD-0333941,estimated,38,30,12,0.7894736842105263,0.3157894736842105,18
20607,Di(2-ethylhexyl) phthalate,estimated,40,12,4,0.3,0.1,8
47335,MK-812,estimated,36,7,1,0.19444444444444445,0.027777777777777776,6
24175,Metalaxyl,default,38,7,7,0.18421052631578946,0.18421052631578946,0
20243,Captan,estimated,42,25,11,0.5952380952380952,0.2619047619047619,14
38888,Basic Blue 7,estimated,27,24,19,0.8888888888888888,0.7037037037037037,5
47369,SR146131 trifluoroacetate (1:1),estimated,37,34,20,0.918918918918919,0.5405405405405406,14
47376,AVE2865,default,36,9,9,0.25,0.25,0
21831,3-Nitrotoluene,default,36,2,2,0.05555555555555555,0.05555555555555555,0
21411,Tris(2-chloroethyl) phosphate,default,41,7,7,0.17073170731707318,0.17073170731707318,0
27131,"1H-1,2,4-Triazole",default,36,11,11,0.3055555555555556,0.3055555555555556,0
27991,1-Hexadecanol,default,38,10,10,0.2631578947368421,0.2631578947368421,0
25300,2-Ethylhexyl diphenyl phosphate,estimated,29,21,12,0.7241379310344828,0.41379310344827586,9
21150,Phenylmercuric acetate,estimated,39,35,19,0.8974358974358975,0.48717948717948717,16
20687,"1,2,3,4,5,6-Hexachlorocyclohexane",estimated,26,21,7,0.8076923076923077,0.2692307692307692,14
44742,"2,2'-[Ethane-1,2-diylbis(oxy)]diethanamine",estimated,37,10,3,0.2702702702702703,0.08108108108108109,7
35175,Kinetin,default,16,3,3,0.1875,0.1875,0
40794,Sodium 2-phenylphenate tetrahydrate,estimated,20,9,3,0.45,0.15,6
20740,Indomethacin,default,40,15,15,0.375,0.375,0
39336,S-Bioallethrin,estimated,39,27,11,0.6923076923076923,0.28205128205128205,16
34877,Pyrimethanil,default,37,13,13,0.35135135135135137,0.35135135135135137,0
25805,2-n-Octyl-4-isothiazolin-3-one,estimated,40,32,15,0.8,0.375,17
34113,4-Hydroxyandrostenedione,estimated,16,7,3,0.4375,0.1875,4
34255,2-Fluoroacetamide,default,14,1,1,0.07142857142857142,0.07142857142857142,0
20319,Chlorothalonil,estimated,40,30,18,0.75,0.45,12
41306,"2,2',4,4'-Tetrahydroxybenzophenone",default,39,19,19,0.48717948717948717,0.48717948717948717,0
23322,Mifepristone,estimated,40,35,21,0.875,0.525,14
21409,Triphenyltin hydroxide,estimated,37,33,14,0.8918918918918919,0.3783783783783784,19
20458,Chlorpyrifos,estimated,40,21,16,0.525,0.4,5
48522,HMR1171 trifluoroacetate (1:1),estimated,37,31,9,0.8378378378378378,0.24324324324324326,22
34232,2-(m-Chlorophenoxy)propionic acid,default,37,9,9,0.24324324324324326,0.24324324324324326,0
23977,2-Chlorotoluene,default,36,2,2,0.05555555555555555,0.05555555555555555,0
26252,Triphenyl phosphite,default,38,7,7,0.18421052631578946,0.18421052631578946,0
26640,"1,3-Diisopropylbenzene",default,36,2,2,0.05555555555555555,0.05555555555555555,0
24930,"3,4-Diaminotoluene",estimated,39,21,9,0.5384615384615384,0.23076923076923078,12
34849,Propamocarb hydrochloride,default,36,8,8,0.2222222222222222,0.2222222222222222,0
31131,Dipentyl phthalate,estimated,39,14,7,0.358974358974359,0.1794871794871795,7
21774,Acenaphthene,estimated,38,5,2,0.13157894736842105,0.05263157894736842,3
41623,Benodanil,default,37,20,20,0.5405405405405406,0.5405405405405406,0
21123,Phenobarbital sodium,default,40,8,8,0.2,0.2,0
26926,1-Tetradecanol,estimated,37,11,1,0.2972972972972973,0.02702702702702703,10
44493,1-[3-(Triethoxysilyl)propyl]urea,default,36,2,2,0.05555555555555555,0.05555555555555555,0
20267,"Octachloro-4,7-methanotetrahydroindane",estimated,38,28,18,0.7368421052631579,0.47368421052631576,10
21807,o-Xylene,default,15,2,2,0.13333333333333333,0.13333333333333333,0
47346,SSR162369,default,37,9,9,0.24324324324324326,0.24324324324324326,0
20420,Propyzamide,default,37,15,15,0.40540540540540543,0.40540540540540543,0
23848,Acetochlor,estimated,40,26,11,0.65,0.275,15
21946,1-Decanol,estimated,37,7,2,0.1891891891891892,0.05405405405405406,5
47456,"2-Norbornene-5,6-dicarboxylic anhydride",default,36,2,2,0.05555555555555555,0.05555555555555555,0
21516,Methyl ethyl ketone,default,17,2,2,0.11764705882352941,0.11764705882352941,0
34223,Tebufenpyrad,estimated,38,34,26,0.8947368421052632,0.6842105263157895,8
20402,"2,4-Diaminotoluene",default,40,15,15,0.375,0.375,0
23901,Bentazone,default,37,11,11,0.2972972972972973,0.2972972972972973,0
29611,Ethylenebis(oxyethylene) dibenzoate,default,17,6,6,0.35294117647058826,0.35294117647058826,0
27441,Octabenzone,estimated,37,12,3,0.32432432432432434,0.08108108108108109,9
22628,Atenolol,default,17,1,1,0.058823529411764705,0.058823529411764705,0
47303,CJ-013790,estimated,39,32,14,0.8205128205128205,0.358974358974359,18
34338,Ancymidol,default,14,2,2,0.14285714285714285,0.14285714285714285,0
31290,Isocyclemone E,estimated,25,15,0,0.6,0.0,15
24177,Methamidophos,default,38,10,10,0.2631578947368421,0.2631578947368421,0
24216,Nitrapyrin,estimated,37,7,1,0.1891891891891892,0.02702702702702703,6
21196,"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine",default,38,14,14,0.3684210526315789,0.3684210526315789,0
47279,CP-532623,default,37,12,12,0.32432432432432434,0.32432432432432434,0
47598,"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",estimated,39,33,14,0.8461538461538461,0.358974358974359,19
27924,Diisodecyl hexanedioate,default,36,7,7,0.19444444444444445,0.19444444444444445,0
32675,Sulprofos,default,18,10,10,0.5555555555555556,0.5555555555555556,0
27195,Hexadecane,default,36,3,3,0.08333333333333333,0.08333333333333333,0
47882,Phenylparaben,estimated,17,9,4,0.5294117647058824,0.23529411764705882,5
25271,N-Ethylaniline,default,36,4,4,0.1111111111111111,0.1111111111111111,0
47358,Nelivaptan,estimated,39,33,10,0.8461538461538461,0.2564102564102564,23
24052,Dimethipin,estimated,38,25,14,0.6578947368421053,0.3684210526315789,11
47362,SSR150106,estimated,37,29,15,0.7837837837837838,0.40540540540540543,14
40694,Butyl benzoate,default,36,7,7,0.19444444444444445,0.19444444444444445,0
20570,Sodium erythorbate,default,36,4,4,0.1111111111111111,0.1111111111111111,0
47355,Trelanserin,estimated,38,20,13,0.5263157894736842,0.34210526315789475,7
21952,Triphenyl phosphate,estimated,41,29,16,0.7073170731707317,0.3902439024390244,13
21160,Picloram,default,36,7,7,0.19444444444444445,0.19444444444444445,0
47270,Besonprodil,estimated,38,27,15,0.7105263157894737,0.39473684210526316,12
24211,Napropamide,estimated,39,27,9,0.6923076923076923,0.23076923076923078,18
20939,Nitrilotriacetic acid,default,39,6,6,0.15384615384615385,0.15384615384615385,0
21195,"1,3-Propane sultone",default,37,3,3,0.08108108108108109,0.08108108108108109,0
34928,Spirodiclofen,estimated,39,25,13,0.6410256410256411,0.3333333333333333,12
21914,5-Methyl-2-hexanone,estimated,17,4,0,0.23529411764705882,0.0,4
41389,2'-Acetonaphthone,default,17,4,4,0.23529411764705882,0.23529411764705882,0
26214,Triclocarban,estimated,39,35,12,0.8974358974358975,0.3076923076923077,23
34695,Mancozeb,estimated,41,34,24,0.8292682926829268,0.5853658536585366,10
24160,Lactofen,estimated,39,23,14,0.5897435897435898,0.358974358974359,9
28880,Triphenyl phosphates isopropylated,estimated,28,24,10,0.8571428571428571,0.35714285714285715,14
20336,Clofibrate,default,37,12,12,0.32432432432432434,0.32432432432432434,0
31980,Resveratrol,estimated,25,19,10,0.76,0.4,9
27397,"Sorbitan, mono-(9Z)-9-octadecenoate",default,37,6,6,0.16216216216216217,0.16216216216216217,0
22521,Diisononyl phthalate,default,25,8,8,0.32,0.32,0
27373,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",default,4,2,2,0.5,0.5,0
47477,dl-Norgestrel,estimated,15,7,6,0.4666666666666667,0.4,1
21030,N-Nitrosodiphenylamine,default,37,14,14,0.3783783783783784,0.3783783783783784,0
21419,L-Tryptophan,default,37,4,4,0.10810810810810811,0.10810810810810811,0
44581,2-tert-Butyl-4-ethylphenol,estimated,37,20,5,0.5405405405405406,0.13513513513513514,15
32352,Chlorpyrifos-methyl,estimated,40,18,11,0.45,0.275,7
42394,Sodium 1-naphthalenesulfonate,default,15,2,2,0.13333333333333333,0.13333333333333333,0
22529,Methylparaben,default,40,9,9,0.225,0.225,0
34324,Phoxim,default,19,12,12,0.631578947368421,0.631578947368421,0
23600,Strychnine,default,11,1,1,0.09090909090909091,0.09090909090909091,0
32359,Cyprodinil,estimated,36,21,11,0.5833333333333334,0.3055555555555556,10
32647,2-(Thiocyanomethylthio)benzothiazole,estimated,39,30,17,0.7692307692307693,0.4358974358974359,13
20262,Chloramben,default,37,6,6,0.16216216216216217,0.16216216216216217,0
22489,E-Cinnamic acid,default,16,2,2,0.125,0.125,0
47325,SB413217A,estimated,39,20,7,0.5128205128205128,0.1794871794871795,13
47255,CP-465394,default,36,12,12,0.3333333333333333,0.3333333333333333,0
47274,CP-114271,default,37,8,8,0.21621621621621623,0.21621621621621623,0
24538,Anthralin,default,38,18,18,0.47368421052631576,0.47368421052631576,0
20603,Nabam-sodium,default,16,5,5,0.3125,0.3125,0
47282,CP-671305,default,37,10,10,0.2702702702702703,0.2702702702702703,0
32552,Flufenacet,estimated,39,21,7,0.5384615384615384,0.1794871794871795,14
35180,Allethrin,estimated,40,33,16,0.825,0.4,17
22332,4-(Butan-2-yl)phenol,estimated,38,12,6,0.3157894736842105,0.15789473684210525,6
47433,Equilin,estimated,26,16,7,0.6153846153846154,0.2692307692307692,9
25355,Glutaraldehyde,estimated,37,18,5,0.4864864864864865,0.13513513513513514,13
41847,Dibutyl decanedioate,default,36,4,4,0.1111111111111111,0.1111111111111111,0
47347,SR271425,estimated,37,35,9,0.9459459459459459,0.24324324324324326,26
25253,Ergotamine D-tartrate,estimated,15,9,5,0.6,0.3333333333333333,4
27593,4-Chlorobenzotrichloride,default,39,6,6,0.15384615384615385,0.15384615384615385,0
47565,"1H,1H,2H,2H-Perfluorooctyl iodide",default,38,5,5,0.13157894736842105,0.13157894736842105,0
20647,Furfural,estimated,37,3,1,0.08108108108108109,0.02702702702702703,2
51570,2-Chloroethyl vinyl ether,default,15,1,1,0.06666666666666667,0.06666666666666667,0
21953,Fensulfothion,default,26,8,8,0.3076923076923077,0.3076923076923077,0
27608,Terbutylazine,default,38,13,13,0.34210526315789475,0.34210526315789475,0
47374,SSR161421,estimated,37,27,12,0.7297297297297297,0.32432432432432434,15
47592,9-Phenanthrol,estimated,37,23,13,0.6216216216216216,0.35135135135135137,10
47334,MK-968,estimated,38,32,13,0.8421052631578947,0.34210526315789475,19
20453,Dieldrin,estimated,41,27,24,0.6585365853658537,0.5853658536585366,3
44164,4-Pentylphenol,estimated,26,19,6,0.7307692307692307,0.23076923076923078,13
25881,"1,2-Phenylenediamine",estimated,39,29,10,0.7435897435897436,0.2564102564102564,19
47257,Zamifenacin,estimated,37,30,20,0.8108108108108109,0.5405405405405406,10
21464,Ziram,estimated,38,34,16,0.8947368421052632,0.42105263157894735,18
20374,"p,p'-DDE",estimated,39,22,14,0.5641025641025641,0.358974358974359,8
20834,Methyl carbamate,estimated,17,6,1,0.35294117647058826,0.058823529411764705,5
20515,"N,N-Dimethylformamide",default,38,1,1,0.02631578947368421,0.02631578947368421,0
24460,C.I. Solvent Yellow 1,estimated,37,32,14,0.8648648648648649,0.3783783783783784,18
22455,Dimethyl phthalate,default,39,3,3,0.07692307692307693,0.07692307692307693,0
25049,Diethylene glycol monomethyl ether,default,38,4,4,0.10526315789473684,0.10526315789473684,0
47276,CP-409092,estimated,38,8,7,0.21052631578947367,0.18421052631578946,1
26697,Bis(2-ethylhexyl) nonanedioate,estimated,36,7,5,0.19444444444444445,0.1388888888888889,2
34676,Isazofos,default,38,21,21,0.5526315789473685,0.5526315789473685,0
21374,Bromoform,default,14,3,3,0.21428571428571427,0.21428571428571427,0
20480,Dimethoxane,default,36,6,6,0.16666666666666666,0.16666666666666666,0
45232,Tiratricol,estimated,36,29,13,0.8055555555555556,0.3611111111111111,16
32376,Dimethenamid,estimated,37,19,12,0.5135135135135135,0.32432432432432434,7
32316,"4-Chloro-3,5-dimethylphenol",estimated,18,7,6,0.3888888888888889,0.3333333333333333,1
24062,"3,4-Dimethylphenol",default,37,9,9,0.24324324324324326,0.24324324324324326,0
42243,Oleyl sarcosine,estimated,21,14,3,0.6666666666666666,0.14285714285714285,11
45400,Ronidazole,default,15,1,1,0.06666666666666667,0.06666666666666667,0
24151,Imazalil,estimated,39,35,17,0.8974358974358975,0.4358974358974359,18
47360,SR58611,estimated,36,23,12,0.6388888888888888,0.3333333333333333,11
40324,m-Cumenyl methylcarbamate,default,14,5,5,0.35714285714285715,0.35714285714285715,0
34855,Butyl (2R)-2-(4-{[5-(trifluoromethyl)pyridin-2-yl]oxy}phenoxy)propanoate,estimated,38,10,2,0.2631578947368421,0.05263157894736842,8
20653,Gentian Violet,estimated,41,39,23,0.9512195121951219,0.5609756097560976,16
20537,Diphenhydramine hydrochloride,estimated,40,23,17,0.575,0.425,6
27205,Octamethylcyclotetrasiloxane,default,38,5,5,0.13157894736842105,0.13157894736842105,0
24328,Sulfotep,estimated,25,14,5,0.56,0.2,9
34924,Sodium trichloroacetate,default,36,9,9,0.25,0.25,0
21770,"2,2',6,6'-Tetrachlorobisphenol A",estimated,27,21,15,0.7777777777777778,0.5555555555555556,6
41508,4-Chloro-2-methylaniline,default,24,6,6,0.25,0.25,0
22345,"o,p'-DDT",estimated,40,29,17,0.725,0.425,12
21759,2-Methyl-1-propanol,default,17,2,2,0.11764705882352941,0.11764705882352941,0
23652,6-Thioguanine,estimated,40,27,8,0.675,0.2,19
27640,Malic acid,default,36,6,6,0.16666666666666666,0.16666666666666666,0
23556,Retinol,estimated,40,21,12,0.525,0.3,9
24085,2-Cloroethylphosphonic acid,estimated,37,9,7,0.24324324324324326,0.1891891891891892,2
22510,4-Chloro-2-methylphenol,default,17,7,7,0.4117647058823529,0.4117647058823529,0
47266,CP-544439,estimated,36,20,6,0.5555555555555556,0.16666666666666666,14
22446,"2,2′-Methylenebis[phenol]",estimated,25,16,9,0.64,0.36,7
21771,4-(2-Methylbutan-2-yl)phenol,estimated,39,19,8,0.48717948717948717,0.20512820512820512,11
34365,Butafenacil,estimated,36,14,9,0.3888888888888889,0.25,5
34885,Fenchlorphos,default,25,16,16,0.64,0.64,0
26689,"1,1′,1′′,1′′′-(Ethylenedinitrilo)tetrakis(2-propanol)",default,36,5,5,0.1388888888888889,0.1388888888888889,0
47301,CP-456773,default,37,13,13,0.35135135135135137,0.35135135135135137,0
23826,Isophorone diisocyanate,default,37,11,11,0.2972972972972973,0.2972972972972973,0
52686,"2-Ethylhexyl 2,3,4,5-tetrabromobenzoate",default,3,2,2,0.6666666666666666,0.6666666666666666,0
27268,Pentadecane,default,36,3,3,0.08333333333333333,0.08333333333333333,0
40222,Trifloxysulfuron-sodium,default,37,11,11,0.2972972972972973,0.2972972972972973,0
40362,5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,estimated,39,32,15,0.8205128205128205,0.38461538461538464,17
47535,Butyryl-n-trihexylcitrate,default,37,3,3,0.08108108108108109,0.08108108108108109,0
47281,CP-612372,default,37,12,12,0.32432432432432434,0.32432432432432434,0
40708,4-Hexylaniline,estimated,18,9,7,0.5,0.3888888888888889,2
21233,FD&C Red 3,estimated,25,20,11,0.8,0.44,9
20332,Citric acid,default,37,4,4,0.10810810810810811,0.10810810810810811,0
21642,Octadecanoic acid,estimated,37,10,6,0.2702702702702703,0.16216216216216217,4
42327,Dipropylene glycol dimethyl ether,default,15,2,2,0.13333333333333333,0.13333333333333333,0
20295,4-Chloroaniline,estimated,37,7,2,0.1891891891891892,0.05405405405405406,5
24254,Phenanthrene,estimated,40,10,5,0.25,0.125,5
22991,Erythromycin,default,38,7,7,0.18421052631578946,0.18421052631578946,0
25527,Medroxyprogesterone acetate,estimated,23,11,9,0.4782608695652174,0.391304347826087,2
34538,Diflufenzopyr,default,16,4,4,0.25,0.25,0
20105,Sodium L-ascorbate,default,38,8,8,0.21052631578947367,0.21052631578947367,0
34252,Tepraloxydim,default,37,4,4,0.10810810810810811,0.10810810810810811,0
22370,Progesterone,estimated,38,33,17,0.868421052631579,0.4473684210526316,16
37094,4-Hydroxytamoxifen,estimated,40,30,17,0.75,0.425,13
34300,Acetamiprid,default,38,10,10,0.2631578947368421,0.2631578947368421,0
47368,SSR69071,estimated,38,30,14,0.7894736842105263,0.3684210526315789,16
26193,"1,2,3-Trichlorobenzene",default,37,4,4,0.10810810810810811,0.10810810810810811,0
24239,Oxadiazon,estimated,38,30,9,0.7894736842105263,0.23684210526315788,21
24242,Paclobutrazol,estimated,39,19,11,0.48717948717948717,0.28205128205128205,8
41275,1-Monolaurin,estimated,16,6,1,0.375,0.0625,5
21031,4-Nitrosodiphenylamine,estimated,19,14,9,0.7368421052631579,0.47368421052631576,5
26065,"C.I. Acid Blue 1, sodium salt",estimated,17,10,7,0.5882352941176471,0.4117647058823529,3
23235,D-Mannitol,default,38,4,4,0.10526315789473684,0.10526315789473684,0
21575,Dalapon,default,37,3,3,0.08108108108108109,0.08108108108108109,0
31248,Diquat dibromide monohydrate,estimated,37,8,3,0.21621621621621623,0.08108108108108109,5
24662,Brucine,default,17,7,7,0.4117647058823529,0.4117647058823529,0
47253,CP-401387,estimated,37,33,16,0.8918918918918919,0.43243243243243246,17
24066,"1,2-Dinitrobenzene",estimated,39,16,11,0.41025641025641024,0.28205128205128205,5
20692,Methenamine,default,36,1,1,0.027777777777777776,0.027777777777777776,0
20433,"3,3'-Dichlorobenzidine dihydrochloride",estimated,26,22,16,0.8461538461538461,0.6153846153846154,6
22959,Docusate sodium,estimated,40,31,14,0.775,0.35,17
21026,N-Nitrosodibutylamine,default,36,4,4,0.1111111111111111,0.1111111111111111,0
27047,Isomethyl-alpha-ionone,estimated,37,4,0,0.10810810810810811,0.0,4
34286,5-Chloro-2-methyl-3(2H)-isothiazolone,estimated,38,14,7,0.3684210526315789,0.18421052631578946,7
47337,PharmaGSID_47337,estimated,39,34,12,0.8717948717948718,0.3076923076923077,22
24917,Diacetone alcohol,default,36,5,5,0.1388888888888889,0.1388888888888889,0
20894,Bis(4-(dimethylamino)phenyl)methanone,estimated,36,25,10,0.6944444444444444,0.2777777777777778,15
32547,Etridiazole,default,38,22,22,0.5789473684210527,0.5789473684210527,0
21103,Pentachloroanisole,default,15,3,3,0.2,0.2,0
24105,Fluorene,default,39,7,7,0.1794871794871795,0.1794871794871795,0
