chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
20154,120-32-1,Clorophene,3336,1451,311,34,20,14
31864,1763-23-1,Perfluorooctanesulfonic acid,2739,779,109,34,20,14
34695,8018-01-7,Mancozeb,2544,723,273,34,24,10
20182,80-05-7,Bisphenol A,2843,729,279,26,17,9
32498,3380-34-5,Triclosan,2513,986,268,37,19,18
32520,131860-33-8,Azoxystrobin,1978,653,159,32,18,14
35180,584-79-2,Allethrin,1858,706,87,33,16,17
21781,84-74-2,"Dibutyl 1,2-benzenedicarboxylate",1727,194,16,18,6,12
32329,741-58-2,Bensulide,1510,590,169,32,17,15
32493,55219-65-3,Triadimenol,1838,302,133,20,11,9
31865,335-67-1,Perfluorooctanoic acid,1338,139,139,19,19,0
190949,375-80-4,"1,6-Diiodoperfluorohexane",854,763,21,15,6,9
184723,307-29-9,"1H,1H-Perfluorooctylamine",849,16,16,5,5,0
32646,4151-50-2,N-Ethylperfluorooctane sulfonamide,1212,421,68,26,13,13
32605,51338-27-3,(+-)-Diclofop-methyl,1216,119,119,22,22,0
34868,94125-34-5,Prosulfuron,796,41,41,10,10,0
31863,375-95-1,Perfluorononanoic acid,1183,399,35,33,12,21
20465,56-53-1,Diethylstilbestrol,1597,644,323,35,23,12
22361,50471-44-8,Vinclozolin,1521,148,57,16,11,5
38939,754-91-6,Perfluorooctanesulfonamide,1170,605,116,35,23,12
37706,2795-39-3,Potassium perfluorooctanesulfonate,1163,265,42,29,13,16
20827,72-43-5,Methoxychlor,1257,315,108,33,14,19
31860,335-76-2,Perfluorodecanoic acid,1165,510,59,28,15,13
24238,19044-88-3,Oryzalin,1642,712,87,35,11,24
37303,375-85-9,Perfluoroheptanoic acid,1139,66,66,13,13,0
28038,55406-53-6,3-Iodo-2-propynyl-N-butylcarbamate,1483,575,123,29,17,12
20576,57-63-6,17alpha-Ethinylestradiol,1766,589,252,22,12,10
34187,10540-29-1,Tamoxifen,1432,536,158,32,19,13
31862,307-24-4,Perfluorohexanoic acid,1076,26,26,11,11,0
47553,2058-94-8,Perfluoroundecanoic acid,1108,377,180,24,16,8
44572,647-42-7,Fluorotelomer alcohol 6:2,1048,121,8,14,5,9
20573,50-28-2,17beta-Estradiol,1513,401,189,21,11,10
29904,678-39-7,Fluorotelomer alcohol 8:2,1063,344,6,14,5,9
37708,3825-26-1,Ammonium perfluorooctanoate,1044,87,20,17,10,7
47429,2392-39-4,Dexamethasone sodium phosphate,1398,166,166,15,15,0
47558,2144-53-8,2-(Perfluorohexyl)ethyl methacrylate,1045,31,31,11,11,0
24163,330-55-2,Linuron,1420,187,52,26,10,16
20112,1912-24-9,Atrazine,1347,74,74,16,16,0
24091,759-94-4,S-Ethyl dipropylthiocarbamate,1313,21,21,9,9,0
20822,59-05-2,Methotrexate,1265,184,32,21,6,15
37709,3871-99-6,Potassium perfluorohexanesulfonate,997,68,68,20,20,0
22370,57-83-0,Progesterone,1384,444,138,33,17,16
20770,143-50-0,Kepone,1385,688,249,38,22,16
29055,84852-15-3,"4-Nonylphenol, branched",1473,580,179,28,20,8
44969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),575,73,73,11,11,0
880215,13252-13-6,Perfluoro-2-methyl-3-oxahexanoic acid,567,12,12,5,5,0
400078,3834-42-2,(Heptafluoropropyl)trimethylsilane,567,6,6,4,4,0
22536,599-64-4,4-Cumylphenol,1324,475,99,24,10,14
20209,94-26-8,Butylparaben,1535,261,44,21,8,13
22360,140-66-9,"4-(1,1,3,3-Tetramethylbutyl)phenol",1304,477,189,28,21,7
22442,77-40-7,Bisphenol B,1323,414,168,21,16,5
379925,52447-23-1,Perfluorononanoyl chloride,547,275,19,14,9,5
565479,13973-14-3,8H-Perfluorooctanoic acid,544,50,50,11,11,0
880131,355-93-1,"1H,1H,5H-Perfluoropentyl methacrylate",544,26,26,9,9,0
382154,52447-22-0,Perfluoroheptanoyl chloride,544,34,34,12,12,0
190948,375-50-8,"Perfluoro-1,4-diiodobutane",542,349,8,15,4,11
380837,151772-59-7,"Perfluoro-3,6,9-trioxadecanoic acid",541,35,35,8,8,0
59829,335-66-0,Perfluorooctanoyl fluoride,541,47,47,10,10,0
379917,27854-30-4,3-(Perfluorohexyl)propanoic acid,540,48,48,10,10,0
187142,335-64-8,Pentadecafluorooctanoyl chloride,540,50,50,10,10,0
379947,34451-26-8,2-(Perfluorohexyl)ethanethiol,540,12,12,5,5,0
22345,789-02-6,"o,p'-DDT",1299,429,145,29,17,12
379835,423-49-4,"1H,1H-Perfluoroheptylamine",539,15,15,5,5,0
335129,918-22-9,"1,6-Dibromododecafluorohexane",539,9,9,4,4,0
379930,355-47-5,"1H,1H-Perfluorononylamine",539,10,10,4,4,0
375114,330562-41-9,"Perfluoro-3,6,9-trioxatridecanoic acid",535,339,114,17,11,6
379295,77953-71-0,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",531,119,19,14,9,5
23980,64902-72-3,Chlorsulfuron,794,13,13,7,7,0
22308,446-72-0,Genistein,1597,400,123,20,12,8
60332,559-94-4,(Perfluorobutyryl)-2-thenoylmethane,528,301,44,14,11,3
382104,865-79-2,9-Chloro-perfluorononanoic acid,528,277,26,15,7,8
20374,72-55-9,"p,p'-DDE",1306,357,81,22,14,8
378880,74427-22-8,"2,2-Difluoroethyl triflate",524,16,16,7,7,0
23902,56-55-3,Benz(a)anthracene,1255,217,36,31,8,23
627108,80220-63-9,((Perfluorooctyl)ethyl)phosphonic acid,518,86,37,13,7,6
382063,151772-58-6,"Perfluoro-3,6-dioxaheptanoic acid",515,24,24,9,9,0
380797,147492-57-7,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",515,181,8,14,4,10
47566,355-43-1,Perfluoro-1-iodohexane,513,37,37,8,8,0
59916,375-22-4,Perfluorobutanoic acid,513,8,8,5,5,0
60985,678-77-3,Hexafluoroglutaryl chloride,512,14,14,5,5,0
59879,355-80-6,"1H,1H,5H-Perfluoropentanol",511,14,14,5,5,0
59914,375-01-9,3:1 Fluorotelomer alcohol,511,7,7,3,3,0
874028,914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid",508,31,31,10,10,0
20119,446-86-6,Azathioprine,1197,236,34,27,15,12
892417,679-12-9,4H-Perfluorobutanoic acid,506,8,8,6,6,0
442840,329710-76-1,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,506,4,4,3,3,0
170109,1763-28-6,"3,3-Bis(trifluoromethyl)-2-propenoic acid",506,90,22,11,6,5
395037,58244-27-2,tris(Trifluoroethoxy)methane,505,1,1,1,1,0
880134,374-40-3,1-Pentafluoroethylethanol,505,4,4,2,2,0
381992,883498-76-8,"Bis(1H,1H-perfluoropropyl)amine",505,12,12,6,6,0
379269,679-02-7,3-(Perfluoropropyl)propanol,505,2,2,2,2,0
377826,355-27-1,"1H,1H-Perfluoropentylamine",505,5,5,4,4,0
62122,2043-47-2,Fluorotelomer alcohol 4:2,505,13,13,6,6,0
24523,63-05-8,"4-Androstene-3,17-dione",1619,249,120,22,12,10
34566,155569-91-8,Emamectin benzoate,932,574,166,36,19,17
22528,120-47-8,Ethylparaben,1246,59,59,7,7,0
47578,2043-55-2,"1H,1H,2H,2H-Perfluorohexyl iodide",760,29,29,8,8,0
382621,25600-66-2,7:3 Fluorotelomer alcohol,496,332,7,14,4,10
204489,559-14-8,Perfluorooct-1-ene,494,11,11,6,6,0
174941,20825-07-4,"3H,3H-Perfluoro-2,4-hexanedione",494,24,24,7,7,0
65586,13695-31-3,(Perfluoropropyl)methyl methacrylate,494,6,6,4,4,0
59794,307-34-6,Perfluorooctane,492,1,1,1,1,0
59920,375-92-8,Perfluoroheptanesulfonic acid,491,66,66,11,11,0
892442,13252-14-7,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",489,8,8,4,4,0
27140,307-35-7,Perfluorooctanesulfonyl fluoride,489,8,8,6,6,0
67331,27619-97-2,6:2 Fluorotelomer sulfonic acid,488,18,18,8,8,0
74915,51851-37-7,Triethoxy((perfluorohexyl)ethyl)silane,487,12,12,5,5,0
276659,65294-16-8,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",487,7,7,5,5,0
880230,19932-26-4,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",487,12,12,6,6,0
59919,375-88-2,1-Bromopentadecafluoroheptane,486,6,6,5,5,0
74616,21652-58-4,"1H,1H,2H-Perfluoro-1-decene",486,4,4,2,2,0
59970,422-64-0,Perfluoropropanoic acid,486,10,10,4,4,0
30030,375-73-5,Perfluorobutanesulfonic acid,488,15,15,5,5,0
108559,62037-80-3,Ammonium perfluoro-2-methyl-3-oxahexanoate,460,47,21,8,4,4
892443,2806-15-7,Sodium perfluorodecanesulfonate,460,112,19,10,5,5
23322,84371-65-3,Mifepristone,1419,609,228,35,21,14
20791,121-75-5,Malathion,1175,176,101,17,14,3
375107,423-65-4,11:1 Fluorotelomer alcohol,450,69,17,9,5,4
27426,1691-99-2,N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide,450,208,13,13,5,8
310730,355-66-8,Octafluoroadipamide,450,12,12,7,7,0
382093,31253-34-6,2-Aminohexafluoropropan-2-ol,449,13,4,7,3,4
51419,1652-63-7,"N-[(Perfluorooctylsulfonamido)propyl]-N,N,N-trimethylammonium iodide",445,204,48,15,6,9
67629,31506-32-8,N-Methylperfluorooctanesulfonamide,444,82,31,11,5,6
379721,2264-01-9,"1H,1H,6H,6H-Perfluorohexane-1,6-diol diacrylate",437,333,34,17,8,9
60986,678-95-5,"1H,1H,5H,5H-Perfluoro-1,5-pentanediol diacrylate",436,323,77,17,12,5
224331,7383-71-3,"2,2,3,3-Tetrafluoropropyl acrylate",435,182,20,14,8,6
381151,307-31-3,Perfluorooctanamidine,433,113,11,14,4,10
61954,1765-48-6,11-H-Perfluoroundecanoic acid,433,225,47,14,9,5
24270,67747-09-5,Prochloraz,1231,389,131,35,20,15
558000,57678-01-0,6:2 Fluorotelomer phosphate monoester,432,36,36,10,10,0
34609,120068-37-3,Fipronil,1143,349,62,35,16,19
20794,12427-38-2,Maneb,871,223,52,31,17,14
380257,243139-64-2,3-(Perfluoroisopropyl)-2-propenoic acid,431,6,6,3,3,0
179883,252237-40-4,2-(Perfluorohexyl)ethylphosphonic acid,431,22,22,7,7,0
377821,3792-02-7,4:4 Fluorotelomer alcohol,431,9,9,2,2,0
66215,17587-22-3,(Heptafluorobutanoyl)pivaloylmethane,431,39,6,8,3,5
192353,39108-34-4,8:2 Fluorotelomer sulfonic acid,431,62,62,10,10,0
375106,55621-21-1,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",431,2,2,2,2,0
500450,863090-89-5,Perfluoro(4-methoxybutanoic acid),431,9,9,6,6,0
880413,38565-52-5,"3-(Perfluorohexyl)-1,2-epoxypropane",430,5,5,2,2,0
380798,330562-44-2,"1H,1H,11H,11H-Perfluorotetraethylene glycol",429,104,17,13,10,3
68772,52591-27-2,2-(Perfluorobutyl)ethyl acrylate,429,99,1,12,1,11
369896,754-96-1,"1H,1H,10H,10H-Perfluorodecane-1,10-diol",428,192,19,13,6,7
396867,90177-96-1,"1H,1H,8H,8H-Perfluorooctane-1,8-diol",428,26,11,7,4,3
61881,1682-31-1,"1-Iodo-1H,1H,2H,2H-perfluoroheptane",427,50,2,10,2,8
880156,2043-52-9,"1-Iodo-1H,1H,2H,2H-perfluorononane",426,20,0,9,0,9
59832,335-99-9,"1H,1H,7H-Dodecafluoro-1-heptanol",426,12,3,5,1,4
381090,129301-42-4,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",426,13,13,5,5,0
27831,24448-09-7,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,425,43,16,9,6,3
59969,422-63-9,"1H-Perfluoro-1,1-propanediol",425,8,8,3,3,0
340244,424-16-8,"1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate",425,42,10,8,4,4
366226,355-81-7,Perfluoropentanamide,425,8,8,4,4,0
891564,757124-72-4,4:2 Fluorotelomer sulfonic acid,425,10,10,4,4,0
59927,376-90-9,Hexafluoroamylene glycol,424,6,6,3,3,0
382147,125070-38-4,"3-(Perfluoro-2-butyl)propane-1,2-diol",424,13,13,5,5,0
235137,85857-17-6,Dimethoxymethyl((perfluorohexyl)ethyl)silane,424,1,1,1,1,0
60965,662-50-0,Heptafluorobutyramide,424,3,3,3,3,0
59928,377-38-8,Perfluorobutanedioic acid,424,11,0,4,0,4
400587,13485-61-5,Nonafluoropentanamide,424,7,7,4,4,0
379268,356-02-5,3:3 Fluorotelomer carboxylic acid,420,10,10,4,4,0
382620,812-70-4,3-(Perfluoroheptyl)propanoic acid,415,41,41,10,10,0
39223,116-06-3,Aldicarb,1098,42,42,10,10,0
195123,423-54-1,Perfluorooctanamide,414,13,13,5,5,0
663110,801212-59-9,Perfluoro-4-isopropoxybutanoic acid,414,23,23,6,6,0
379781,6588-63-2,Perfluorocyclohexanecarbonyl fluoride,413,4,4,3,3,0
441560,132424-36-3,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",413,8,8,5,5,0
337446,34143-74-3,2-(Perfluorooctyl)ethanthiol,412,17,17,5,5,0
59833,336-08-3,Perfluorohexanedioic acid,412,4,4,2,2,0
191136,377-73-1,Perfluoro-3-methoxypropanoic acid,412,4,4,3,3,0
379991,1651-41-8,3-(Perfluorooctyl)propanol,412,303,5,13,3,10
67348,27905-45-9,2-(Perfluorooctyl)ethyl acrylate,411,19,19,8,8,0
315130,423-60-9,Perfluoro-1-octanesulfonyl chloride,411,121,9,15,5,10
868151,72629-94-8,Perfluorotridecanoic acid,411,71,17,13,5,8
194615,4180-26-1,"1H,1H,9H-Perfluorononyl acrylate",411,88,6,13,5,8
21995,134-62-3,DEET,1337,31,31,9,9,0
59912,374-98-1,Heptafluorobutyl iodide,411,10,10,3,3,0
379884,54009-81-3,"3-(Perfluoro-3-methylbutyl)-1,2-epoxypropane",411,5,5,2,2,0
59921,376-06-7,Perfluorotetradecanoic acid,409,31,6,10,3,7
380390,79963-95-4,"2,2,2-Trifluoroethyl perfluorobutanesulfonate",408,52,52,10,10,0
469320,41997-13-1,Perfluorohexanesulfonamide,408,130,25,13,6,7
190950,375-82-6,6:1 Fluorotelomer alcohol,407,69,3,11,2,9
40150,355-46-4,Perfluorohexanesulfonic acid,407,38,38,9,9,0
63235,3934-23-4,(Perfluoroheptyl)methyl methacrylate,406,9,9,5,5,0
59871,354-76-7,Perfluoropropanamide,406,5,5,3,3,0
20122,86-50-0,Azinphos-methyl,1171,226,97,23,17,6
59834,338-83-0,Perfluamine,406,4,4,2,2,0
379666,53296-64-3,N-Methyl-N-trimethylsilylheptafluorobutyramide,406,6,6,4,4,0
59799,307-98-2,"1H,1H-Perfluorooctyl acrylate",406,21,1,5,1,4
62599,2706-90-3,Perfluoropentanoic acid,406,7,7,4,4,0
881157,94159-84-9,"1-(Perfluorofluorooctyl)propane-2,3-diol",406,25,25,9,9,0
880144,663-35-4,Ethyl pentafluoropropionyl acetate,406,7,7,5,5,0
379901,50836-66-3,(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate,405,14,14,5,5,0
223797,73609-36-6,Dichloromethyl((perfluorohexyl)ethyl)silane,405,20,20,6,6,0
59926,376-73-8,Perfluoropentanedioic acid,405,7,7,4,4,0
59828,335-58-0,1-Iodopentadecafluoroheptane,405,30,5,7,2,5
20601,96-45-7,"4,5-Dihydro-2-mercaptoimidazole",1096,19,19,11,11,0
379254,1765-92-0,"1H,1H-Heptafluorobutyl epoxide",405,10,10,5,5,0
537191,568550-25-4,Methyl 3H-perfluoroisopropyl ether,405,10,10,5,5,0
440585,133331-77-8,1-(Perfluorohexyl)octane,405,7,7,5,5,0
21248,83-79-4,Rotenone,1407,565,267,38,17,21
20607,117-81-7,Di(2-ethylhexyl) phthalate,891,124,14,12,4,8
24280,60207-90-1,Propiconazole,1177,303,82,34,16,18
34392,188425-85-6,Boscalid,834,82,82,15,15,0
23892,71751-41-2,Abamectin,926,468,98,37,13,24
32519,135158-54-2,Acibenzolar-S-methyl,901,54,54,13,13,0
35957,68359-37-5,Cyfluthrin,921,177,58,19,13,6
880218,15290-77-4,"1H,1H,2H-Perfluorocyclopentane",393,6,6,4,4,0
229163,78560-45-9,Trichloro((perfluorohexyl)ethyl)silane,393,10,10,3,3,0
371872,35192-44-0,"1,8-Divinylperfluorooctane",393,5,5,4,4,0
34186,52-01-7,Spironolactone,1226,319,91,31,9,22
32390,60168-88-9,Fenarimol,1163,334,82,33,11,22
20332,77-92-9,Citric acid,1136,6,6,4,4,0
23998,52315-07-8,Cypermethrin,1169,139,29,18,9,9
21239,302-79-4,Retinoic acid,1360,390,161,32,20,12
34181,82640-04-8,Raloxifene hydrochloride,1459,677,208,33,18,15
20855,298-00-0,Methyl parathion,1137,160,46,21,13,8
40747,68-96-2,17alpha-Hydroxyprogesterone,1391,157,157,14,14,0
38666,5598-15-2,Chlorpyrifos oxon,837,248,62,29,14,15
24344,2303-17-5,Tri-allate,1063,182,18,19,7,12
20366,427-51-0,Cyproterone acetate,1644,381,86,30,11,19
21337,148-79-8,Thiabendazole,1317,104,37,18,8,10
34737,9006-42-2,Metiram,378,116,17,19,6,13
23412,6153-64-6,Oxytetracycline dihydrate,884,123,123,16,16,0
34192,10161-33-8,17beta-Trenbolone,1432,355,128,28,14,14
34492,120116-88-3,Cyazofamid,790,323,74,35,21,14
22325,2971-36-0,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",1154,456,156,38,21,17
23897,43121-43-3,Triadimefon,784,144,45,17,7,10
21975,122-39-4,Diphenylamine,1048,92,15,19,7,12
20337,50-41-9,Clomiphene citrate (1:1),1204,572,190,36,20,16
21332,137-26-8,Bis(dimethylaminothiocarbonyl) disulfide,1326,553,109,28,10,18
32690,173584-44-6,Indoxacarb,762,187,34,27,12,15
32552,142459-58-3,Flufenacet,811,129,26,21,7,14
22341,1610-18-0,Prometon,1040,41,41,15,15,0
27403,1461-22-9,Tributyltin chloride,1136,738,154,36,16,20
20446,330-54-1,Diuron,1376,122,122,20,20,0
32358,57966-95-7,Cymoxanil,785,43,43,18,18,0
20247,63-25-2,Carbaryl,1320,163,34,22,12,10
22018,298-04-4,Disulfoton,1046,72,72,17,17,0
23846,30560-19-1,Acephate,1091,19,19,8,8,0
24177,10265-92-6,Methamidophos,1060,24,24,10,10,0
21251,81-07-2,Saccharin,1172,19,19,9,9,0
34590,161326-34-7,Fenamidone,795,210,31,33,10,23
37717,1478-61-1,Bisphenol AF,1551,627,260,31,16,15
32638,175013-18-0,Pyraclostrobin,897,374,169,35,17,18
32352,5598-13-0,Chlorpyrifos-methyl,854,128,32,18,11,7
40361,6734-80-1,Metam-sodium hydrate,767,64,1,13,1,12
38888,2390-60-5,Basic Blue 7,628,440,262,24,19,5
32550,111812-58-9,"Fenpyroximate (Z,E)",783,294,125,36,22,14
34928,148477-71-8,Spirodiclofen,795,158,27,25,13,12
21645,124-07-2,Octanoic acid,1090,16,16,10,10,0
22292,52645-53-1,Permethrin,1188,135,44,17,13,4
20479,60-51-5,Dimethoate,1080,58,58,9,9,0
37523,962-58-3,Diazoxon,781,39,39,13,13,0
24209,300-76-5,Naled,1047,315,72,22,12,10
34742,NOCAS_34742,"Milbemectin (mixture of 70% Milbemycin A4, 30% Milbemycin A3)",757,410,115,32,18,14
20160,82657-04-3,Bifenthrin,1139,180,68,16,14,2
32442,138261-41-3,Imidacloprid,1116,59,59,19,19,0
24151,35554-44-0,Imazalil,1126,439,133,35,17,18
24235,85509-19-9,Flusilazole,1052,327,97,32,16,16
32637,123312-89-0,Pymetrozine,786,16,16,8,8,0
27891,26264-06-2,Calcium dodecylbenzene sulfonate,621,218,10,20,4,16
20442,94-75-7,"2,4-Dichlorophenoxyacetic acid",1018,32,32,10,10,0
20560,115-29-7,Endosulfan,1116,449,86,34,16,18
21100,56-38-2,Parathion,1057,152,152,21,21,0
34625,361377-29-9,Fluoxastrobin,801,298,111,36,16,20
20243,133-06-2,Captan,1126,350,44,25,11,14
32354,105512-06-9,Clodinafop-propargyl,794,62,20,14,5,9
20449,62-73-7,Dichlorvos,1310,127,20,14,5,9
33664,58-18-4,17-Methyltestosterone,1427,291,143,25,12,13
32551,79622-59-6,Fluazinam,981,552,185,34,22,12
32580,141517-21-7,Trifloxystrobin,809,254,101,21,14,7
25502,78-70-6,Linalool,869,9,9,5,5,0
20913,91-20-3,Naphthalene,1084,15,15,7,7,0
24102,22224-92-6,Fenamiphos,849,139,139,19,19,0
22446,2467-02-9,"2,2′-Methylenebis[phenol]",671,112,20,16,9,7
34361,90823-38-4,Denatonium saccharide,605,21,21,8,8,0
20006,103-90-2,Acetaminophen,1283,10,10,5,5,0
41726,2610-11-9,C.I. Direct Red 81 disodium salt,621,93,4,16,3,13
37707,29420-49-3,Potassium perfluorobutanesulfonate,737,5,5,3,3,0
27134,298-07-7,Bis(2-ethylhexyl) phosphate,866,285,37,19,11,8
24206,2212-67-1,Molinate,1029,35,35,10,10,0
22364,521-18-6,5alpha-Dihydrotestosterone,1426,277,130,17,7,10
32611,13194-48-4,Ethoprop,789,73,73,16,16,0
26706,104-66-5,"1,2-Diphenoxyethane",876,38,38,11,11,0
34723,141112-29-0,Isoxaflutole,737,27,27,11,11,0
20319,1897-45-6,Chlorothalonil,1036,496,131,30,18,12
24174,78-48-8,Tribufos,1034,223,34,23,14,9
34300,135410-20-7,Acetamiprid,750,19,19,10,10,0
40700,2996-92-1,Trimethoxyphenylsilane,601,3,3,2,2,0
32344,54593-83-8,Chlorethoxyfos,773,159,23,19,11,8
21244,13292-46-1,Rifampicin,1295,218,33,21,11,10
20790,1634-78-2,Malaoxon,1061,63,63,15,15,0
23745,58-86-6,D-Xylose,598,3,3,3,3,0
24827,69-09-0,Chlorpromazine hydrochloride,764,417,93,36,16,20
22439,81-90-3,Phenolphthalin,1221,58,58,11,11,0
25050,111-40-0,Diethylenetriamine,938,12,12,5,5,0
32386,55283-68-6,Ethalfluralin,816,130,28,16,9,7
32573,96489-71-3,Pyridaben,858,299,130,36,18,18
29692,7757-79-1,Potassium nitrate,861,10,10,5,5,0
20407,333-41-5,Diazinon,1309,126,126,17,17,0
44818,3913-02-8,2-Butyloctan-1-ol,595,74,8,10,2,8
27837,24800-44-0,Tripropylene glycol,858,8,8,4,4,0
24241,42874-03-3,Oxyfluorfen,1004,206,24,29,9,20
22377,57-91-0,17alpha-Estradiol,1306,367,160,23,11,12
32500,68694-11-1,Triflumizole,836,397,106,34,15,19
32482,96182-53-5,Tebupirimfos,793,232,50,26,13,13
27036,126-30-7,"2,2-Dimethylpropane-1,3-diol",858,13,13,7,7,0
32647,21564-17-0,2-(Thiocyanomethylthio)benzothiazole,956,457,123,30,17,13
34588,131807-57-3,Famoxadone,748,317,109,34,28,6
41424,13254-34-7,"2,6-Dimethyl-2-heptanol",594,5,5,3,3,0
24160,77501-63-4,Lactofen,1029,163,44,23,14,9
47576,486-56-6,Cotinine,1008,4,4,2,2,0
32424,104206-82-8,Mesotrione,734,25,2,10,2,8
34653,79983-71-4,Hexaconazole,748,279,63,32,16,16
40721,92-68-2,4-Cyclohexylcyclohexanone,949,111,13,15,3,12
35204,2155-70-6,Tributyltin methacrylate,786,525,147,34,17,17
23900,17804-35-2,Benomyl,1019,129,1,16,1,15
22436,126-00-1,"4,4-Bis(4-hydroxyphenyl)valeric acid",937,44,44,9,9,0
24315,88671-89-0,Myclobutanil,1010,142,69,21,14,7
24170,24307-26-4,"1,1-Dimethylpiperidinium chloride",757,16,16,9,9,0
32600,113136-77-9,Cyclanilide,723,153,24,27,9,18
21409,76-87-9,Triphenyltin hydroxide,730,408,58,33,14,19
34150,52-86-8,Haloperidol,1040,289,99,28,17,11
21456,2783-94-0,FD&C Yellow 6,1010,89,4,12,4,8
36515,57-85-2,Testosterone propionate,1344,420,131,23,11,12
32372,119446-68-3,Difenoconazole,756,342,103,35,20,15
21150,62-38-4,Phenylmercuric acetate,1289,831,96,35,19,16
25892,90-30-2,N-Phenyl-1-naphthylamine,870,372,49,21,12,9
22369,129453-61-8,Fulvestrant,1537,277,130,26,14,12
21389,52-68-6,Trichlorfon,1279,140,60,18,15,3
34165,63612-50-0,Nilutamide,1298,161,23,24,5,19
42011,97-78-9,N-Dodecanoyl-N-methylglycine,600,65,23,14,8,6
33562,52806-53-8,Hydroxyflutamide,1267,192,67,21,17,4
34212,118134-30-8,Spiroxamine,748,130,84,21,18,3
22474,50-22-6,Corticosterone,1512,171,74,19,11,8
34402,23184-66-9,Butachlor,720,223,50,20,13,7
41200,94-91-7,"N,N′-Disalicylidene-1,2-diaminopropane",616,43,43,12,12,0
32601,94361-06-5,Cyproconazole,745,109,52,17,9,8
226894,76-21-1,9H-Perfluorononanoic acid,313,49,49,8,8,0
24891,69-74-9,Cytarabine hydrochloride,746,143,41,11,7,4
22367,53-16-7,Estrone,1595,260,185,17,12,5
379814,113507-82-7,Perfluoro-2-ethoxyethanesulfonic acid,312,19,19,9,9,0
238701,918-21-8,Perfluoropinacol,312,237,17,11,8,3
381073,137780-69-9,"Perfluoro-3,6-dioxadecanoic acid",312,88,27,8,6,2
40363,83657-24-3,Diniconazole,797,314,66,32,12,20
34961,111988-49-9,Thiacloprid,764,26,26,9,9,0
22310,486-66-8,Daidzein,1278,192,86,18,9,9
29246,2943-75-1,Triethoxyoctylsilane,922,100,9,9,3,6
24666,110-63-4,"1,4-Butanediol",859,4,4,4,4,0
24276,2312-35-8,Propargite,1063,413,78,32,11,21
21554,334-48-5,Decanoic acid,1058,34,34,10,10,0
21986,126-73-8,Tributyl phosphate,1067,102,20,17,5,12
32613,122-14-5,Fenitrothion,819,153,52,19,9,10
62101,1996-88-9,2-(Perfluorooctyl)ethyl methacrylate,311,6,6,3,3,0
42382,682-01-9,Tetrapropyl orthosilicate,596,13,13,5,5,0
380256,243139-62-0,"4,4-bis(Trifluoromethyl)-4-fluoropropanoic acid",311,13,13,5,5,0
34956,112281-77-3,Tetraconazole,749,297,72,32,19,13
36496,797-63-7,Levonorgestrel,1576,188,188,16,16,0
622698,74359-06-1,2H-Perfluoroisopropyl 2-fluoroacrylate,310,6,6,3,3,0
22527,94-13-3,Propylparaben,865,119,119,14,14,0
371164,14548-74-4,"1H,1H-Perfluoro-2,5-dimethyl-3,6-dioxanonan-1-ol",310,141,3,10,2,8
45232,51-24-1,Tiratricol,1125,319,89,29,13,16
34634,68157-60-8,Forchlorfenuron,714,255,50,31,18,13
38924,6259-76-3,Hexyl salicylate,595,121,2,11,2,9
21151,90-43-7,2-Phenylphenol,991,74,19,14,8,6
20653,548-62-9,Gentian Violet,1273,793,181,39,23,16
22381,84-16-2,Hexestrol,1372,483,223,29,14,15
42490,2031-67-6,Triethoxymethylsilane,592,5,5,4,4,0
39336,28434-00-6,S-Bioallethrin,760,211,40,27,11,16
37714,1987-50-4,4-Heptylphenol,987,216,22,23,9,14
26261,13674-87-8,"Tris(1,3-dichloro-2-propyl) phosphate",1104,277,50,33,16,17
41270,58430-94-7,"3,5,5-Trimethylhexyl acetate",607,11,11,8,8,0
24259,2310-17-0,Phosalone,1088,238,73,21,14,7
20108,50-78-2,Aspirin,1274,29,29,9,9,0
25599,6317-18-6,Methylene bis(thiocyanate),996,472,62,36,14,22
23216,6893-02-3,"3,5,3'-Triiodothyronine",1145,208,208,27,27,0
22312,1806-26-4,4-Octylphenol,727,209,23,28,9,19
23380,68-22-4,Norethindrone,1315,262,172,24,18,6
24913,124-18-5,Decane,986,12,12,4,4,0
